state_name,city_name,year,month,day_of_week,time_of_day,accident_severity,number_of_vehicles_involved,vehicle_type_involved,number_of_casualties,number_of_fatalities,weather_conditions,road_type,road_condition,lighting_conditions,traffic_control_presence,speed_limit_(km/h),driver_age,driver_gender,driver_license_status,alcohol_involvement,accident_location_details,day,month_name,hour,area_type
Uttar Pradesh,Lucknow,2020,May,Saturday,00:39,Fatal,1,Auto-Rickshaw,4,5,Foggy,National Highway,Damaged,Dark,Unknown,79,67,Female,Valid,Yes,Straight Road,Saturday,,,Rural
Nagaland,Unknown,2022,September,Tuesday,06:45,Minor,3,Truck,4,3,Hazy,National Highway,Damaged,Dark,Signals,94,35,Male,Unknown,No,Curve,Tuesday,,,Rural
Jammu And Kashmir,Unknown,2023,December,Wednesday,03:51,Fatal,2,Cycle,9,0,Stormy,National Highway,Under Construction,Dawn,Unknown,95,56,Female,Expired,No,Bridge,Wednesday,,,Rural
Maharashtra,Mumbai,2023,April,Sunday,08:15,Fatal,5,Two-Wheeler,8,5,Stormy,Village Road,Damaged,Dark,Signals,105,20,Female,Expired,Yes,Curve,Sunday,,,Unknown
Mizoram,Unknown,2019,January,Sunday,16:11,Serious,5,Auto-Rickshaw,5,0,Stormy,State Highway,Damaged,Dark,Unknown,88,26,Male,Valid,Yes,Bridge,Sunday,,,Unknown
Uttarakhand,Unknown,2020,June,Sunday,03:49,Minor,2,Pedestrian,4,1,Stormy,Village Road,Wet,Daylight,Signals,38,53,Female,Unknown,No,Curve,Sunday,,,Unknown
Sikkim,Unknown,2019,May,Sunday,21:07,Minor,3,Pedestrian,9,2,Hazy,Urban Road,Dry,Dusk,Police Checkpost,30,33,Female,Valid,No,Curve,Sunday,,,Unknown
Goa,Unknown,2020,February,Monday,09:39,Serious,2,Auto-Rickshaw,9,4,Foggy,Urban Road,Under Construction,Dark,Signals,117,39,Male,Valid,Yes,Curve,Monday,,,Unknown
Nagaland,Unknown,2021,January,Monday,02:53,Minor,5,Cycle,5,3,Clear,State Highway,Wet,Daylight,Signals,115,19,Male,Expired,Yes,Intersection,Monday,,,Unknown
Karnataka,Mysore,2022,June,Friday,21:24,Minor,5,Cycle,7,0,Stormy,National Highway,Damaged,Dusk,Signals,53,21,Male,Expired,Yes,Straight Road,Friday,,,Rural
Himachal Pradesh,Unknown,2020,May,Monday,08:26,Minor,1,Bus,4,2,Hazy,State Highway,Damaged,Dusk,Signals,88,45,Male,Valid,No,Straight Road,Monday,,,Unknown
Telangana,Unknown,2018,February,Monday,20:53,Fatal,3,Car,7,3,Stormy,State Highway,Under Construction,Daylight,Signs,63,43,Female,Expired,No,Straight Road,Monday,,,Unknown
Kerala,Unknown,2022,March,Wednesday,09:37,Fatal,4,Bus,5,1,Rainy,National Highway,Damaged,Dawn,Signs,46,38,Female,Expired,Yes,Intersection,Wednesday,,,Rural
Haryana,Unknown,2021,October,Wednesday,07:58,Fatal,5,Truck,1,5,Clear,State Highway,Under Construction,Dusk,Signals,95,62,Male,Unknown,Yes,Intersection,Wednesday,,,Unknown
Delhi,Rohini,2020,November,Monday,22:58,Serious,5,Two-Wheeler,6,4,Foggy,State Highway,Dry,Dark,Police Checkpost,105,61,Male,Unknown,No,Intersection,Monday,,,Unknown
Himachal Pradesh,Unknown,2019,February,Tuesday,04:01,Minor,3,Truck,2,0,Rainy,National Highway,Wet,Dawn,Police Checkpost,79,34,Male,Valid,No,Bridge,Tuesday,,,Rural
Arunachal Pradesh,Unknown,2021,September,Sunday,11:21,Fatal,3,Pedestrian,0,1,Clear,State Highway,Wet,Dark,Police Checkpost,112,32,Male,Valid,No,Bridge,Sunday,,,Unknown
Assam,Unknown,2022,May,Sunday,02:28,Serious,5,Bus,1,5,Foggy,State Highway,Wet,Dark,Signals,90,45,Male,Unknown,Yes,Straight Road,Sunday,,,Unknown
Kerala,Unknown,2023,March,Monday,02:43,Fatal,1,Bus,8,1,Clear,National Highway,Damaged,Daylight,Signals,105,38,Male,Valid,Yes,Bridge,Monday,,,Rural
Punjab,Unknown,2020,September,Friday,11:11,Minor,4,Two-Wheeler,7,5,Foggy,National Highway,Under Construction,Dark,Unknown,52,70,Female,Valid,No,Bridge,Friday,,,Rural
Jharkhand,Unknown,2021,February,Friday,06:55,Minor,4,Pedestrian,3,0,Hazy,National Highway,Dry,Dawn,Signals,63,47,Male,Expired,No,Bridge,Friday,,,Rural
Punjab,Unknown,2018,July,Thursday,05:06,Minor,5,Truck,1,2,Clear,Urban Road,Wet,Dark,Signs,120,24,Female,Unknown,Yes,Bridge,Thursday,,,Unknown
Jharkhand,Unknown,2020,September,Monday,00:07,Fatal,3,Truck,2,2,Stormy,State Highway,Under Construction,Dark,Signals,108,61,Male,Unknown,No,Bridge,Monday,,,Unknown
Gujarat,Vadodara,2018,March,Friday,13:47,Serious,5,Two-Wheeler,3,2,Stormy,Village Road,Dry,Dark,Unknown,45,46,Female,Expired,No,Curve,Friday,,,Unknown
Goa,Unknown,2018,May,Wednesday,13:46,Serious,2,Bus,4,0,Rainy,Village Road,Under Construction,Dusk,Unknown,99,68,Male,Expired,No,Intersection,Wednesday,,,Unknown
Uttar Pradesh,Lucknow,2022,December,Thursday,08:30,Serious,2,Truck,0,0,Stormy,Village Road,Dry,Dawn,Unknown,115,43,Male,Valid,Yes,Bridge,Thursday,,,Unknown
Sikkim,Unknown,2018,December,Friday,11:49,Fatal,4,Truck,7,5,Foggy,Urban Road,Under Construction,Daylight,Signals,117,60,Female,Expired,No,Straight Road,Friday,,,Unknown
Maharashtra,Pune,2020,October,Thursday,20:01,Fatal,2,Auto-Rickshaw,8,5,Rainy,Urban Road,Under Construction,Dawn,Police Checkpost,45,53,Male,Expired,No,Intersection,Thursday,,,Unknown
Mizoram,Unknown,2021,September,Saturday,21:08,Serious,3,Two-Wheeler,2,1,Foggy,Village Road,Dry,Dark,Signs,111,25,Male,Unknown,No,Curve,Saturday,,,Unknown
Odisha,Unknown,2018,October,Monday,16:24,Fatal,2,Auto-Rickshaw,0,0,Rainy,State Highway,Under Construction,Dusk,Signs,82,62,Male,Valid,Yes,Intersection,Monday,,,Unknown
Uttarakhand,Unknown,2018,March,Tuesday,21:54,Minor,4,Cycle,10,3,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,109,65,Female,Unknown,No,Intersection,Tuesday,,,Unknown
Madhya Pradesh,Unknown,2022,November,Sunday,16:53,Minor,2,Two-Wheeler,7,4,Stormy,State Highway,Wet,Dawn,Unknown,100,33,Male,Expired,No,Straight Road,Sunday,,,Unknown
Chhattisgarh,Unknown,2021,October,Sunday,18:38,Serious,1,Car,6,0,Foggy,Village Road,Under Construction,Dawn,Signs,105,18,Female,Valid,No,Curve,Sunday,,,Unknown
Meghalaya,Unknown,2023,February,Saturday,01:24,Fatal,4,Bus,7,4,Clear,Urban Road,Dry,Dark,Signs,74,31,Male,Unknown,Yes,Bridge,Saturday,,,Unknown
Goa,Unknown,2020,April,Wednesday,20:41,Fatal,5,Truck,7,0,Foggy,National Highway,Dry,Dawn,Police Checkpost,62,47,Female,Expired,Yes,Bridge,Wednesday,,,Rural
Puducherry,Unknown,2023,April,Sunday,01:25,Fatal,5,Cycle,5,3,Rainy,Village Road,Dry,Dark,Signs,79,47,Male,Unknown,Yes,Intersection,Sunday,,,Unknown
Tamil Nadu,Chennai,2022,November,Tuesday,04:04,Serious,1,Truck,0,0,Foggy,State Highway,Dry,Dawn,Police Checkpost,38,22,Male,Expired,Yes,Bridge,Tuesday,,,Unknown
Punjab,Unknown,2022,May,Friday,21:28,Fatal,1,Bus,9,1,Foggy,Village Road,Wet,Dawn,Signs,110,67,Male,Unknown,No,Bridge,Friday,,,Unknown
Telangana,Unknown,2018,September,Tuesday,15:13,Serious,2,Car,6,0,Foggy,Urban Road,Dry,Dark,Signals,119,31,Male,Unknown,Yes,Straight Road,Tuesday,,,Unknown
Maharashtra,Nagpur,2020,January,Monday,15:32,Fatal,2,Car,4,1,Stormy,Urban Road,Wet,Dawn,Unknown,65,67,Female,Unknown,No,Straight Road,Monday,,,Unknown
Uttarakhand,Unknown,2020,January,Friday,05:14,Minor,1,Pedestrian,10,1,Hazy,Village Road,Dry,Daylight,Unknown,95,19,Female,Unknown,No,Intersection,Friday,,,Unknown
Punjab,Unknown,2021,August,Monday,07:16,Serious,4,Bus,8,0,Foggy,State Highway,Under Construction,Dawn,Signs,73,33,Male,Unknown,Yes,Straight Road,Monday,,,Unknown
Telangana,Unknown,2018,September,Sunday,02:51,Minor,2,Cycle,9,5,Rainy,Urban Road,Wet,Dusk,Signals,111,67,Male,Unknown,Yes,Bridge,Sunday,,,Unknown
Gujarat,Ahmedabad,2019,January,Monday,22:17,Minor,3,Truck,7,5,Stormy,National Highway,Damaged,Dawn,Unknown,104,23,Male,Expired,Yes,Bridge,Monday,,,Rural
Andhra Pradesh,Tirupati,2018,May,Wednesday,02:35,Fatal,5,Auto-Rickshaw,0,2,Stormy,Urban Road,Under Construction,Dawn,Signs,101,66,Female,Valid,No,Straight Road,Wednesday,,,Unknown
West Bengal,Siliguri,2021,April,Thursday,22:58,Serious,2,Pedestrian,6,2,Rainy,National Highway,Under Construction,Dark,Signs,94,48,Female,Expired,No,Bridge,Thursday,,,Rural
Kerala,Unknown,2023,June,Monday,07:25,Fatal,1,Car,10,2,Clear,State Highway,Wet,Dawn,Unknown,117,42,Female,Expired,Yes,Straight Road,Monday,,,Unknown
Uttarakhand,Unknown,2021,August,Monday,13:32,Fatal,3,Truck,7,1,Hazy,Village Road,Wet,Dusk,Signs,104,24,Female,Valid,No,Intersection,Monday,,,Unknown
Maharashtra,Mumbai,2018,February,Thursday,04:09,Minor,1,Pedestrian,8,0,Hazy,National Highway,Wet,Dark,Unknown,62,49,Female,Unknown,Yes,Straight Road,Thursday,,,Rural
Karnataka,Bangalore,2019,July,Tuesday,05:40,Minor,5,Truck,5,0,Clear,Village Road,Damaged,Dark,Signs,52,36,Male,Expired,Yes,Straight Road,Tuesday,,,Unknown
Odisha,Unknown,2019,February,Sunday,07:43,Serious,3,Two-Wheeler,7,1,Foggy,State Highway,Under Construction,Dawn,Signs,85,29,Male,Expired,Yes,Intersection,Sunday,,,Unknown
Rajasthan,Jodhpur,2021,January,Tuesday,16:38,Fatal,3,Truck,2,4,Hazy,Urban Road,Wet,Daylight,Signs,61,58,Female,Valid,No,Curve,Tuesday,,,Unknown
Jharkhand,Unknown,2023,September,Saturday,07:48,Serious,4,Bus,7,1,Clear,Urban Road,Damaged,Dusk,Unknown,44,59,Male,Expired,Yes,Bridge,Saturday,,,Unknown
Goa,Unknown,2021,November,Tuesday,07:00,Fatal,3,Pedestrian,9,2,Hazy,State Highway,Dry,Dusk,Signals,53,35,Male,Valid,No,Intersection,Tuesday,,,Unknown
Madhya Pradesh,Unknown,2019,May,Sunday,17:41,Fatal,3,Pedestrian,6,0,Hazy,Urban Road,Under Construction,Dusk,Signs,53,21,Female,Valid,Yes,Bridge,Sunday,,,Unknown
Odisha,Unknown,2022,January,Sunday,09:58,Minor,3,Bus,3,2,Foggy,Village Road,Dry,Dawn,Unknown,100,45,Male,Unknown,Yes,Straight Road,Sunday,,,Unknown
West Bengal,Durgapur,2018,February,Wednesday,14:56,Fatal,2,Cycle,6,5,Rainy,Urban Road,Wet,Daylight,Police Checkpost,90,40,Female,Valid,Yes,Curve,Wednesday,,,Unknown
Tamil Nadu,Madurai,2021,November,Friday,01:42,Minor,5,Truck,7,5,Foggy,National Highway,Damaged,Dark,Signs,39,23,Male,Unknown,No,Curve,Friday,,,Rural
Haryana,Unknown,2018,February,Saturday,00:28,Serious,4,Car,10,1,Stormy,State Highway,Dry,Daylight,Police Checkpost,103,26,Male,Valid,Yes,Bridge,Saturday,,,Unknown
Punjab,Unknown,2021,November,Monday,06:22,Serious,1,Cycle,1,0,Hazy,Urban Road,Under Construction,Daylight,Police Checkpost,67,53,Male,Unknown,Yes,Curve,Monday,,,Unknown
Andhra Pradesh,Vijayawada,2021,August,Wednesday,06:12,Minor,1,Car,2,2,Rainy,Village Road,Under Construction,Dawn,Unknown,48,43,Male,Expired,Yes,Bridge,Wednesday,,,Unknown
Nagaland,Unknown,2021,December,Monday,06:37,Minor,2,Bus,2,4,Hazy,State Highway,Dry,Dark,Signals,40,66,Male,Expired,Yes,Straight Road,Monday,,,Unknown
Gujarat,Ahmedabad,2021,September,Saturday,21:47,Fatal,1,Cycle,8,3,Stormy,State Highway,Dry,Daylight,Police Checkpost,109,43,Female,Valid,No,Straight Road,Saturday,,,Unknown
Delhi,Rohini,2023,February,Friday,16:58,Fatal,4,Truck,5,3,Rainy,State Highway,Under Construction,Dark,Police Checkpost,31,39,Female,Unknown,No,Intersection,Friday,,,Unknown
Jammu And Kashmir,Unknown,2023,December,Tuesday,06:12,Serious,3,Cycle,1,2,Foggy,Urban Road,Damaged,Dusk,Signs,107,64,Male,Valid,No,Curve,Tuesday,,,Unknown
Punjab,Unknown,2019,December,Tuesday,10:39,Serious,2,Cycle,6,3,Rainy,National Highway,Dry,Dawn,Signs,89,43,Male,Valid,Yes,Bridge,Tuesday,,,Rural
Arunachal Pradesh,Unknown,2021,April,Friday,07:07,Minor,5,Auto-Rickshaw,7,0,Stormy,State Highway,Wet,Dawn,Unknown,53,24,Female,Expired,Yes,Bridge,Friday,,,Unknown
Rajasthan,Jodhpur,2019,December,Sunday,14:13,Fatal,2,Auto-Rickshaw,7,1,Hazy,National Highway,Damaged,Dusk,Signs,51,36,Female,Expired,Yes,Curve,Sunday,,,Rural
West Bengal,Siliguri,2023,April,Monday,23:45,Serious,5,Auto-Rickshaw,8,3,Hazy,Urban Road,Wet,Dawn,Signs,112,28,Female,Valid,Yes,Curve,Monday,,,Unknown
Odisha,Unknown,2022,November,Sunday,18:49,Serious,3,Truck,5,1,Clear,State Highway,Dry,Dawn,Signals,37,32,Male,Unknown,No,Intersection,Sunday,,,Unknown
Uttar Pradesh,Kanpur,2018,June,Monday,05:40,Fatal,4,Bus,1,0,Foggy,Village Road,Wet,Dark,Signs,32,58,Male,Expired,No,Intersection,Monday,,,Unknown
Odisha,Unknown,2018,June,Tuesday,10:28,Fatal,3,Cycle,2,4,Clear,Village Road,Under Construction,Dusk,Signs,54,34,Male,Valid,Yes,Straight Road,Tuesday,,,Unknown
Himachal Pradesh,Unknown,2023,February,Friday,08:10,Serious,2,Auto-Rickshaw,1,3,Rainy,National Highway,Under Construction,Dark,Police Checkpost,115,69,Female,Valid,Yes,Bridge,Friday,,,Rural
Puducherry,Unknown,2023,August,Wednesday,18:16,Fatal,3,Cycle,2,3,Stormy,Village Road,Damaged,Dark,Signals,120,27,Male,Unknown,No,Intersection,Wednesday,,,Unknown
Tripura,Unknown,2021,August,Sunday,14:50,Serious,3,Truck,5,0,Clear,Village Road,Damaged,Dark,Signs,81,48,Male,Valid,No,Bridge,Sunday,,,Unknown
Manipur,Unknown,2022,May,Friday,03:41,Fatal,1,Pedestrian,9,5,Foggy,State Highway,Damaged,Daylight,Unknown,49,24,Male,Unknown,Yes,Bridge,Friday,,,Unknown
Odisha,Unknown,2018,October,Friday,18:58,Minor,3,Auto-Rickshaw,9,1,Stormy,National Highway,Under Construction,Dusk,Police Checkpost,83,46,Female,Unknown,No,Bridge,Friday,,,Rural
Jammu And Kashmir,Unknown,2021,July,Saturday,17:21,Fatal,2,Pedestrian,2,2,Hazy,National Highway,Wet,Dusk,Signs,51,29,Female,Valid,No,Straight Road,Saturday,,,Rural
Himachal Pradesh,Unknown,2023,August,Thursday,15:14,Serious,2,Cycle,10,3,Rainy,Urban Road,Dry,Dark,Signals,96,47,Female,Valid,No,Curve,Thursday,,,Unknown
Uttar Pradesh,Varanasi,2018,November,Thursday,03:28,Minor,4,Two-Wheeler,8,4,Rainy,State Highway,Dry,Dusk,Signals,60,43,Male,Unknown,Yes,Curve,Thursday,,,Unknown
Telangana,Unknown,2018,October,Sunday,04:55,Minor,3,Two-Wheeler,9,1,Foggy,National Highway,Wet,Dawn,Signals,106,63,Male,Expired,No,Intersection,Sunday,,,Rural
Tripura,Unknown,2022,October,Saturday,22:25,Minor,3,Car,10,4,Stormy,Urban Road,Dry,Dusk,Signs,105,38,Female,Expired,Yes,Intersection,Saturday,,,Unknown
Goa,Unknown,2023,August,Wednesday,19:24,Fatal,5,Car,5,0,Clear,Urban Road,Wet,Dark,Police Checkpost,84,63,Female,Expired,Yes,Straight Road,Wednesday,,,Unknown
Karnataka,Mysore,2021,October,Saturday,11:32,Minor,3,Car,1,3,Foggy,State Highway,Wet,Dusk,Police Checkpost,57,60,Female,Expired,Yes,Straight Road,Saturday,,,Unknown
Arunachal Pradesh,Unknown,2022,May,Monday,19:02,Minor,5,Auto-Rickshaw,8,4,Clear,State Highway,Wet,Dark,Police Checkpost,103,66,Male,Expired,No,Straight Road,Monday,,,Unknown
Jammu And Kashmir,Unknown,2023,August,Sunday,23:23,Fatal,3,Pedestrian,1,5,Stormy,Village Road,Wet,Dawn,Signs,70,43,Female,Unknown,Yes,Straight Road,Sunday,,,Unknown
Andhra Pradesh,Vijayawada,2021,November,Friday,13:45,Serious,4,Auto-Rickshaw,9,5,Hazy,Urban Road,Wet,Dark,Police Checkpost,71,37,Female,Valid,Yes,Curve,Friday,,,Unknown
Gujarat,Vadodara,2021,October,Thursday,18:39,Fatal,3,Bus,2,0,Foggy,Urban Road,Dry,Daylight,Police Checkpost,57,60,Male,Expired,Yes,Curve,Thursday,,,Unknown
Maharashtra,Mumbai,2019,January,Friday,14:28,Minor,3,Car,4,0,Rainy,Village Road,Wet,Dusk,Signals,39,23,Female,Expired,No,Intersection,Friday,,,Unknown
Madhya Pradesh,Unknown,2023,October,Thursday,05:08,Minor,5,Pedestrian,4,0,Stormy,Urban Road,Damaged,Daylight,Signs,103,40,Female,Unknown,No,Bridge,Thursday,,,Unknown
Delhi,Rohini,2023,March,Saturday,18:23,Minor,3,Bus,0,3,Clear,National Highway,Under Construction,Dark,Signs,96,49,Female,Unknown,Yes,Intersection,Saturday,,,Rural
Telangana,Unknown,2022,February,Saturday,17:29,Fatal,5,Bus,10,3,Rainy,Village Road,Under Construction,Dawn,Police Checkpost,67,64,Male,Unknown,Yes,Curve,Saturday,,,Unknown
Tripura,Unknown,2020,February,Tuesday,21:53,Fatal,2,Bus,5,5,Clear,Urban Road,Dry,Daylight,Signs,118,54,Female,Unknown,Yes,Straight Road,Tuesday,,,Unknown
Gujarat,Ahmedabad,2021,April,Thursday,06:45,Minor,5,Truck,7,5,Hazy,National Highway,Wet,Daylight,Police Checkpost,69,21,Female,Unknown,Yes,Curve,Thursday,,,Rural
Rajasthan,Udaipur,2018,March,Thursday,11:55,Minor,3,Truck,5,4,Clear,National Highway,Dry,Dawn,Signs,58,66,Female,Unknown,Yes,Intersection,Thursday,,,Rural
Odisha,Unknown,2018,August,Friday,03:41,Serious,1,Pedestrian,0,1,Foggy,Village Road,Under Construction,Daylight,Unknown,91,68,Male,Expired,No,Bridge,Friday,,,Unknown
Assam,Unknown,2020,February,Monday,07:43,Serious,4,Two-Wheeler,10,5,Foggy,National Highway,Wet,Dusk,Signs,81,50,Male,Expired,No,Straight Road,Monday,,,Rural
Chandigarh,Unknown,2023,February,Sunday,00:50,Fatal,2,Bus,9,4,Rainy,Urban Road,Under Construction,Dusk,Police Checkpost,69,28,Female,Unknown,Yes,Bridge,Sunday,,,Unknown
Tamil Nadu,Coimbatore,2021,December,Friday,23:18,Serious,2,Cycle,2,1,Hazy,National Highway,Under Construction,Dark,Signs,59,66,Male,Unknown,Yes,Intersection,Friday,,,Rural
Mizoram,Unknown,2022,January,Monday,11:17,Serious,4,Car,7,1,Clear,Urban Road,Dry,Daylight,Police Checkpost,87,56,Male,Unknown,No,Curve,Monday,,,Unknown
Uttarakhand,Unknown,2023,August,Tuesday,18:40,Minor,2,Pedestrian,6,1,Hazy,State Highway,Wet,Dawn,Unknown,31,20,Male,Valid,No,Bridge,Tuesday,,,Unknown
Madhya Pradesh,Unknown,2021,May,Monday,23:56,Fatal,3,Cycle,9,5,Rainy,Village Road,Wet,Dawn,Signals,104,22,Male,Expired,Yes,Bridge,Monday,,,Unknown
Jharkhand,Unknown,2023,September,Saturday,05:14,Fatal,2,Bus,5,0,Rainy,Village Road,Wet,Dark,Signs,75,41,Female,Expired,No,Straight Road,Saturday,,,Unknown
Meghalaya,Unknown,2023,February,Wednesday,03:23,Serious,3,Bus,3,3,Clear,National Highway,Dry,Daylight,Signals,49,30,Female,Unknown,Yes,Curve,Wednesday,,,Rural
Manipur,Unknown,2021,July,Tuesday,16:37,Minor,1,Cycle,10,2,Stormy,National Highway,Wet,Daylight,Signs,101,45,Male,Valid,Yes,Straight Road,Tuesday,,,Rural
Himachal Pradesh,Unknown,2023,September,Sunday,19:16,Minor,2,Truck,9,5,Rainy,National Highway,Under Construction,Dusk,Police Checkpost,86,21,Female,Expired,Yes,Straight Road,Sunday,,,Rural
Uttarakhand,Unknown,2019,February,Saturday,03:49,Minor,5,Two-Wheeler,5,1,Foggy,National Highway,Damaged,Dark,Unknown,60,33,Female,Expired,Yes,Bridge,Saturday,,,Rural
Kerala,Unknown,2021,May,Wednesday,01:25,Serious,5,Truck,10,1,Foggy,Urban Road,Wet,Dark,Signs,79,57,Female,Unknown,Yes,Straight Road,Wednesday,,,Unknown
Puducherry,Unknown,2019,March,Thursday,22:44,Fatal,5,Cycle,9,2,Clear,Village Road,Dry,Daylight,Police Checkpost,65,52,Female,Unknown,Yes,Intersection,Thursday,,,Unknown
Puducherry,Unknown,2018,April,Friday,15:35,Fatal,1,Bus,1,1,Rainy,State Highway,Damaged,Dark,Police Checkpost,58,59,Male,Unknown,Yes,Bridge,Friday,,,Unknown
Maharashtra,Nagpur,2020,June,Sunday,12:28,Fatal,4,Car,5,0,Clear,Village Road,Damaged,Dark,Police Checkpost,87,69,Female,Valid,Yes,Bridge,Sunday,,,Unknown
Bihar,Unknown,2020,November,Monday,20:49,Fatal,2,Bus,3,2,Foggy,Village Road,Damaged,Daylight,Police Checkpost,106,52,Female,Expired,Yes,Bridge,Monday,,,Unknown
Delhi,New Delhi,2022,August,Tuesday,11:09,Minor,2,Car,5,5,Hazy,Village Road,Wet,Dawn,Signs,60,64,Female,Unknown,No,Curve,Tuesday,,,Unknown
Odisha,Unknown,2018,December,Thursday,22:33,Minor,1,Bus,10,0,Stormy,State Highway,Wet,Daylight,Signs,51,59,Male,Valid,No,Curve,Thursday,,,Unknown
West Bengal,Siliguri,2018,April,Wednesday,20:59,Serious,4,Cycle,10,1,Foggy,State Highway,Damaged,Dawn,Signals,37,35,Female,Expired,No,Curve,Wednesday,,,Unknown
Madhya Pradesh,Unknown,2023,January,Thursday,23:47,Serious,2,Pedestrian,10,5,Foggy,State Highway,Under Construction,Daylight,Signals,35,21,Male,Valid,Yes,Intersection,Thursday,,,Unknown
Sikkim,Unknown,2022,June,Monday,10:49,Serious,2,Cycle,10,0,Clear,National Highway,Wet,Dusk,Police Checkpost,72,24,Male,Unknown,Yes,Bridge,Monday,,,Rural
Puducherry,Unknown,2022,June,Saturday,23:43,Minor,5,Auto-Rickshaw,2,0,Clear,State Highway,Dry,Dark,Signals,78,58,Female,Valid,No,Straight Road,Saturday,,,Unknown
Uttar Pradesh,Lucknow,2021,April,Wednesday,09:47,Fatal,3,Pedestrian,3,2,Stormy,State Highway,Under Construction,Dark,Unknown,54,24,Male,Unknown,Yes,Intersection,Wednesday,,,Unknown
Uttar Pradesh,Lucknow,2022,May,Thursday,03:50,Serious,5,Truck,7,5,Foggy,Village Road,Wet,Dawn,Unknown,98,50,Female,Valid,No,Bridge,Thursday,,,Unknown
Sikkim,Unknown,2018,June,Wednesday,16:31,Minor,3,Bus,4,1,Stormy,Urban Road,Damaged,Dawn,Signals,87,18,Male,Expired,Yes,Straight Road,Wednesday,,,Unknown
Andhra Pradesh,Visakhapatnam,2018,April,Monday,20:13,Minor,2,Auto-Rickshaw,1,1,Foggy,Village Road,Dry,Daylight,Unknown,92,27,Female,Valid,Yes,Bridge,Monday,,,Unknown
Rajasthan,Jaipur,2018,February,Monday,07:01,Serious,1,Pedestrian,4,5,Hazy,Urban Road,Under Construction,Dark,Signals,73,23,Male,Expired,Yes,Curve,Monday,,,Unknown
Andhra Pradesh,Tirupati,2021,January,Tuesday,03:21,Minor,1,Two-Wheeler,9,2,Stormy,State Highway,Under Construction,Dawn,Unknown,46,44,Male,Valid,No,Straight Road,Tuesday,,,Unknown
Karnataka,Mysore,2018,March,Sunday,03:39,Serious,2,Car,5,3,Foggy,Urban Road,Wet,Dark,Signals,118,55,Female,Unknown,Yes,Intersection,Sunday,,,Unknown
Haryana,Unknown,2023,November,Friday,06:15,Minor,4,Bus,3,2,Stormy,Village Road,Wet,Dawn,Signals,64,31,Female,Expired,No,Curve,Friday,,,Unknown
Uttar Pradesh,Varanasi,2021,August,Wednesday,09:03,Minor,3,Cycle,3,0,Clear,Village Road,Dry,Daylight,Signs,101,34,Female,Valid,No,Bridge,Wednesday,,,Unknown
Haryana,Unknown,2018,October,Monday,23:01,Minor,1,Car,9,1,Rainy,Urban Road,Damaged,Daylight,Unknown,120,46,Male,Unknown,No,Intersection,Monday,,,Unknown
Bihar,Unknown,2023,October,Saturday,23:39,Serious,3,Two-Wheeler,5,1,Clear,Urban Road,Wet,Dawn,Unknown,83,24,Male,Unknown,Yes,Curve,Saturday,,,Unknown
Haryana,Unknown,2019,October,Monday,20:38,Serious,4,Cycle,0,1,Stormy,State Highway,Dry,Daylight,Signs,31,44,Female,Expired,Yes,Straight Road,Monday,,,Unknown
Assam,Unknown,2019,March,Friday,14:15,Serious,4,Cycle,9,5,Clear,Village Road,Wet,Dawn,Police Checkpost,107,26,Male,Valid,No,Intersection,Friday,,,Unknown
Assam,Unknown,2022,May,Tuesday,01:19,Minor,1,Truck,2,3,Stormy,Village Road,Under Construction,Dawn,Unknown,54,55,Female,Valid,No,Intersection,Tuesday,,,Unknown
Odisha,Unknown,2020,October,Thursday,03:13,Minor,5,Bus,0,0,Foggy,Urban Road,Under Construction,Dawn,Police Checkpost,76,62,Male,Unknown,Yes,Straight Road,Thursday,,,Unknown
Chandigarh,Unknown,2020,January,Monday,12:52,Minor,5,Auto-Rickshaw,10,1,Stormy,State Highway,Damaged,Dusk,Signals,100,66,Female,Valid,No,Intersection,Monday,,,Unknown
Maharashtra,Mumbai,2021,September,Tuesday,20:06,Serious,3,Bus,10,4,Clear,Village Road,Dry,Dark,Unknown,52,26,Female,Valid,Yes,Intersection,Tuesday,,,Unknown
Uttar Pradesh,Varanasi,2023,September,Friday,20:13,Fatal,5,Pedestrian,5,1,Rainy,State Highway,Dry,Dusk,Signs,81,31,Male,Unknown,No,Bridge,Friday,,,Unknown
Manipur,Unknown,2023,April,Thursday,04:03,Minor,3,Car,2,1,Stormy,Urban Road,Dry,Daylight,Unknown,63,60,Male,Valid,No,Straight Road,Thursday,,,Unknown
Karnataka,Bangalore,2022,December,Tuesday,08:14,Minor,1,Truck,3,2,Clear,Village Road,Dry,Daylight,Signs,109,23,Female,Expired,No,Curve,Tuesday,,,Unknown
Haryana,Unknown,2022,October,Monday,01:04,Serious,2,Truck,4,0,Stormy,Urban Road,Dry,Dusk,Police Checkpost,114,48,Male,Expired,No,Curve,Monday,,,Unknown
Nagaland,Unknown,2023,October,Thursday,07:37,Fatal,1,Auto-Rickshaw,8,3,Foggy,Village Road,Dry,Dusk,Signs,84,18,Female,Unknown,No,Intersection,Thursday,,,Unknown
Goa,Unknown,2022,January,Saturday,16:05,Fatal,3,Auto-Rickshaw,8,5,Foggy,State Highway,Wet,Dusk,Signs,98,59,Female,Expired,No,Intersection,Saturday,,,Unknown
